,board,first_player,move_history,winner,1,2,3,4,5,6,7,8,9
586,"[[0, 1, 1], [0, 1, 0], [1, 1, 0]]",1,"[7, -5, 4, -7, 8, -3, 5, -9, 6]",1,7,-5,4,-7,8,-3,5,-9,6
587,"[[0, 1, 1], [0, -1, 1], [0, 1, 0]]",1,"[8, -3, 4, -9, 7, -5, 5, -7, 0]",0,8,-3,4,-9,7,-5,5,-7,0
588,"[[1, -1, 0], [-1, 0, 1], [0, 0, 1]]",0,"[-7, 7, -8, 3, -5, 9, -6, 0, 0]",0,-7,7,-8,3,-5,9,-6,0,0
589,"[[0, -1, 0], [1, 1, 1], [0, -1, -1]]",0,"[-7, 7, -3, 5, -5, 6, 0, 0, 0]",1,-7,7,-3,5,-5,6,0,0,0
590,"[[-1, 0, 0], [1, 1, 1], [1, -1, 0]]",1,"[5, -4, 7, -9, 7, -5, 6, 0, 0]",1,5,-4,7,-9,7,-5,6,0,0
591,"[[1, 1, 0], [0, 0, 1], [1, 1, 0]]",1,"[7, -9, 4, -5, 3, -6, 8, -5, 7]",-1,7,-9,4,-5,3,-6,8,-5,7
592,"[[1, 1, 1], [-1, 0, 0], [0, 0, 1]]",0,"[-8, 3, -7, 5, -6, 9, -7, 4, 0]",1,-8,3,-7,5,-6,9,-7,4,0
593,"[[0, 1, 0], [0, 1, 1], [1, 0, 0]]",0,"[-3, 4, -8, 7, -5, 7, -5, 6, -9]",-1,-3,4,-8,7,-5,7,-5,6,-9
594,"[[0, 0, 0], [1, -1, -1], [1, 0, 1]]",0,"[-4, 7, -8, 5, -5, 9, -3, 0, 0]",0,-4,7,-8,5,-5,9,-3,0,0
595,"[[1, 0, 0], [0, 1, 1], [1, 1, 0]]",1,"[7, -9, 6, -4, 7, -5, 3, -5, 8]",-1,7,-9,6,-4,7,-5,3,-5,8
596,"[[-1, -1, 1], [0, -1, 1], [-1, 0, 1]]",1,"[5, -8, 9, -5, 7, 0, 0, 0, 0]",1,5,-8,9,-5,7,0,0,0,0
597,"[[1, -1, -1], [0, 0, 0], [1, -1, 1]]",1,"[7, -7, 9, -6, 3, -5, 0, 0, 0]",0,7,-7,9,-6,3,-5,0,0,0
598,"[[1, 0, -1], [1, -1, 0], [1, 0, -1]]",0,"[-4, 7, -7, 3, -8, 5, 0, 0, 0]",1,-4,7,-7,3,-8,5,0,0,0
599,"[[0, -1, 0], [1, 0, 0], [1, 1, 1]]",0,"[-5, 7, -6, 5, -7, 9, -3, 8, 0]",1,-5,7,-6,5,-7,9,-3,8,0
600,"[[1, -1, 0], [-1, 1, 0], [1, 0, 0]]",0,"[-8, 7, -7, 3, -9, 6, -5, 0, 0]",0,-8,7,-7,3,-9,6,-5,0,0
601,"[[1, 1, 0], [-1, -1, 0], [1, -1, 0]]",1,"[7, -9, 4, -7, 3, -5, 0, 0, 0]",0,7,-9,4,-7,3,-5,0,0,0
602,"[[1, 0, 1], [1, 0, 1], [-1, 0, 0]]",1,"[7, -8, 5, -9, 3, -4, 5, -6, 0]",0,7,-8,5,-9,3,-4,5,-6,0
603,"[[1, 1, 0], [1, 0, 1], [1, 0, 0]]",1,"[4, -9, 7, -8, 3, -6, 5, -5, 7]",1,4,-9,7,-8,3,-6,5,-5,7
604,"[[0, 1, 0], [1, 0, 0], [1, 0, 1]]",0,"[-3, 7, -5, 9, -8, 5, -6, 4, -7]",-1,-3,7,-5,9,-8,5,-6,4,-7
605,"[[0, 1, 0], [-1, 1, 1], [0, 1, -1]]",1,"[6, -3, 8, -7, 7, -5, 4, 0, 0]",1,6,-3,8,-7,7,-5,4,0,0
606,"[[0, 1, 0], [1, 0, -1], [0, 1, -1]]",0,"[-6, 5, -7, 8, -3, 4, -5, 0, 0]",0,-6,5,-7,8,-3,4,-5,0,0
607,"[[0, 0, -1], [0, 1, 0], [1, 1, 1]]",0,"[-5, 6, -4, 7, -7, 8, -3, 9, 0]",1,-5,6,-4,7,-7,8,-3,9,0
608,"[[0, 0, 1], [0, 1, -1], [1, 0, 1]]",0,"[-8, 7, -4, 5, -3, 9, -5, 6, 0]",1,-8,7,-4,5,-3,9,-5,6,0
609,"[[1, 1, 0], [0, 0, 1], [0, 1, 0]]",0,"[-6, 3, -9, 8, -5, 7, -7, 4, -5]",0,-6,3,-9,8,-5,7,-7,4,-5
610,"[[-1, -1, 0], [1, 1, 0], [-1, 1, 0]]",1,"[8, -5, 6, -7, 5, -9, 0, 0, 0]",0,8,-5,6,-7,5,-9,0,0,0
611,"[[0, 1, 0], [-1, 1, 1], [-1, 1, 0]]",1,"[8, -5, 6, -3, 7, -9, 4, 0, 0]",1,8,-5,6,-3,7,-9,4,0,0
612,"[[1, 0, 1], [0, 1, -1], [1, 0, 0]]",0,"[-4, 7, -8, 3, -5, 6, -9, 5, 0]",1,-4,7,-8,3,-5,6,-9,5,0
613,"[[1, 1, 0], [0, 1, 1], [0, 0, 1]]",1,"[6, -5, 7, -7, 4, -5, 3, -8, 9]",1,6,-5,7,-7,4,-5,3,-8,9
614,"[[1, -1, -1], [1, 1, -1], [0, 0, 0]]",1,"[3, -8, 5, -7, 6, -9, 0, 0, 0]",0,3,-8,5,-7,6,-9,0,0,0
615,"[[0, 1, 1], [1, 1, 0], [0, 0, 0]]",0,"[-3, 5, -7, 4, -8, 6, -9, 5, -7]",0,-3,5,-7,4,-8,6,-9,5,-7
616,"[[1, 1, 1], [-1, 0, 0], [0, -1, -1]]",0,"[-7, 5, -6, 4, -7, 3, 0, 0, 0]",1,-7,5,-6,4,-7,3,0,0,0
617,"[[-1, 0, 1], [-1, 0, 1], [1, 0, -1]]",1,"[7, -6, 7, -4, 5, -8, 0, 0, 0]",0,7,-6,7,-4,5,-8,0,0,0
618,"[[1, 0, 1], [0, -1, 1], [0, 0, 1]]",0,"[-4, 5, -8, 3, -5, 7, -7, 9, 0]",1,-4,5,-8,3,-5,7,-7,9,0
619,"[[1, 1, 0], [0, 0, 0], [1, 0, 1]]",0,"[-8, 9, -6, 4, -5, 3, -7, 7, -5]",0,-8,9,-6,4,-5,3,-7,7,-5
620,"[[1, 1, 0], [0, 1, 0], [-1, 0, 1]]",0,"[-5, 3, -7, 4, -8, 9, -5, 6, 0]",1,-5,3,-7,4,-8,9,-5,6,0
621,"[[0, 0, 1], [0, 1, 0], [0, 1, 1]]",0,"[-7, 5, -4, 9, -3, 6, -7, 8, -5]",0,-7,5,-4,9,-3,6,-7,8,-5
622,"[[0, -1, 1], [-1, 1, 1], [0, 0, 1]]",1,"[7, -8, 5, -3, 6, -7, 9, 0, 0]",1,7,-8,5,-3,6,-7,9,0,0
623,"[[0, 1, 1], [1, 1, 0], [0, 0, 0]]",0,"[-3, 4, -7, 6, -8, 5, -7, 5, -9]",0,-3,4,-7,6,-8,5,-7,5,-9
624,"[[1, 1, 0], [0, 1, 0], [1, 0, 1]]",1,"[6, -7, 9, -5, 4, -8, 7, -5, 3]",1,6,-7,9,-5,4,-8,7,-5,3
625,"[[0, 0, 1], [1, 1, 0], [0, 1, 1]]",1,"[5, -3, 5, -7, 9, -4, 6, -7, 8]",-1,5,-3,5,-7,9,-4,6,-7,8
626,"[[1, 1, 0], [0, 1, 0], [-1, 0, 1]]",0,"[-5, 6, -8, 4, -7, 3, -5, 9, 0]",1,-5,6,-8,4,-7,3,-5,9,0
627,"[[0, -1, 0], [1, 0, 1], [1, 1, 0]]",1,"[5, -5, 7, -6, 8, -3, 7, -9, 0]",0,5,-5,7,-6,8,-3,7,-9,0
628,"[[0, 1, 1], [0, 0, -1], [0, 1, 1]]",1,"[9, -7, 4, -5, 8, -6, 5, -3, 0]",0,9,-7,4,-5,8,-6,5,-3,0
629,"[[1, 1, 0], [0, -1, 0], [1, 1, 0]]",1,"[8, -5, 4, -9, 3, -5, 7, -7, 0]",0,8,-5,4,-9,3,-5,7,-7,0
630,"[[1, 1, 0], [1, -1, -1], [1, 0, 0]]",1,"[5, -5, 7, -9, 4, -8, 3, 0, 0]",1,5,-5,7,-9,4,-8,3,0,0
631,"[[1, 0, 1], [0, 1, 0], [0, 1, 0]]",0,"[-7, 8, -7, 5, -9, 6, -5, 3, -4]",-1,-7,8,-7,5,-9,6,-5,3,-4
632,"[[-1, 1, -1], [0, 1, 0], [0, 1, 1]]",1,"[4, -5, 9, -7, 6, -7, 8, 0, 0]",1,4,-5,9,-7,6,-7,8,0,0
633,"[[1, 0, 1], [-1, 0, 1], [-1, 0, 0]]",0,"[-8, 7, -4, 5, -9, 3, -6, 0, 0]",0,-8,7,-4,5,-9,3,-6,0,0
634,"[[1, 0, 1], [0, 1, 1], [0, 0, 0]]",0,"[-4, 6, -7, 7, -5, 5, -9, 3, -8]",0,-4,6,-7,7,-5,5,-9,3,-8
635,"[[1, -1, 0], [1, 0, 0], [0, -1, 1]]",0,"[-7, 3, -5, 5, -6, 9, -7, 0, 0]",0,-7,3,-5,5,-6,9,-7,0,0
636,"[[0, 1, 1], [0, 1, -1], [0, -1, 0]]",0,"[-9, 6, -3, 5, -7, 4, -5, 0, 0]",0,-9,6,-3,5,-7,4,-5,0,0
637,"[[0, 1, -1], [0, 1, 1], [0, 0, 1]]",1,"[4, -5, 7, -7, 9, -8, 6, -3, 0]",0,4,-5,7,-7,9,-8,6,-3,0
638,"[[1, 0, 0], [0, 1, 1], [0, 1, 0]]",0,"[-5, 8, -4, 6, -5, 3, -7, 7, -9]",-1,-5,8,-4,6,-5,3,-7,7,-9
639,"[[-1, 0, 0], [0, -1, 1], [1, 1, 1]]",1,"[7, -5, 9, -4, 7, -5, 8, 0, 0]",1,7,-5,9,-4,7,-5,8,0,0
640,"[[-1, 0, 1], [0, 1, -1], [1, 1, 0]]",1,"[5, -4, 6, -5, 8, -9, 7, 0, 0]",1,5,-4,6,-5,8,-9,7,0,0
641,"[[-1, 0, -1], [1, 1, 1], [0, 0, 1]]",1,"[7, -4, 9, -8, 5, -7, 6, 0, 0]",1,7,-4,9,-8,5,-7,6,0,0
642,"[[1, 1, 1], [1, 0, 0], [-1, 0, 0]]",0,"[-7, 3, -8, 5, -6, 4, -9, 5, 0]",1,-7,3,-8,5,-6,4,-9,5,0
643,"[[0, 0, 1], [-1, -1, 1], [-1, 0, 1]]",0,"[-4, 5, -3, 9, -8, 7, 0, 0, 0]",1,-4,5,-3,9,-8,7,0,0,0
644,"[[0, 1, 1], [0, 1, 1], [1, 0, 0]]",1,"[4, -8, 6, -5, 7, -3, 7, -9, 5]",1,4,-8,6,-5,7,-3,7,-9,5
645,"[[0, 1, 1], [1, 0, 0], [0, 1, 0]]",0,"[-9, 4, -7, 5, -3, 8, -7, 5, -6]",0,-9,4,-7,5,-3,8,-7,5,-6
646,"[[1, 1, 1], [0, 0, -1], [1, 0, -1]]",1,"[7, -8, 3, -5, 5, -6, 4, 0, 0]",1,7,-8,3,-5,5,-6,4,0,0
647,"[[1, 1, 1], [0, 0, 1], [1, 0, 0]]",1,"[7, -9, 4, -5, 7, -8, 3, -6, 5]",1,7,-9,4,-5,7,-8,3,-6,5
648,"[[1, 1, 1], [0, 0, 1], [-1, 0, 0]]",0,"[-6, 5, -8, 3, -5, 7, -9, 4, 0]",1,-6,5,-8,3,-5,7,-9,4,0
649,"[[0, -1, 1], [-1, 1, 0], [1, -1, 0]]",0,"[-9, 7, -3, 6, -7, 5, 0, 0, 0]",1,-9,7,-3,6,-7,5,0,0,0
650,"[[-1, -1, 1], [-1, -1, 1], [0, 0, 0]]",0,"[-9, 5, -8, 7, -7, 0, 0, 0, 0]",0,-9,5,-8,7,-7,0,0,0,0
651,"[[0, 1, -1], [0, 0, 1], [-1, 1, 0]]",0,"[-9, 8, -6, 7, -5, 4, -3, 0, 0]",0,-9,8,-6,7,-5,4,-3,0,0
652,"[[0, 0, 1], [1, 0, 1], [0, 1, 1]]",1,"[7, -7, 8, -6, 5, -4, 5, -3, 9]",1,7,-7,8,-6,5,-4,5,-3,9
653,"[[0, 0, 1], [-1, 1, 0], [1, 1, 0]]",0,"[-9, 8, -3, 6, -7, 7, -4, 5, 0]",1,-9,8,-3,6,-7,7,-4,5,0
654,"[[-1, 1, 1], [0, 1, 1], [0, 0, 0]]",1,"[4, -8, 7, -7, 5, -5, 6, -9, 0]",0,4,-8,7,-7,5,-5,6,-9,0
655,"[[0, 0, 0], [-1, 1, 1], [-1, 0, 1]]",0,"[-8, 9, -4, 7, -3, 6, -5, 0, 0]",0,-8,9,-4,7,-3,6,-5,0,0
656,"[[1, 0, 0], [0, -1, 0], [1, 1, 1]]",0,"[-7, 9, -5, 3, -5, 8, -4, 7, 0]",1,-7,9,-5,3,-5,8,-4,7,0
657,"[[0, 0, 0], [1, 1, -1], [0, 1, -1]]",0,"[-7, 8, -3, 6, -5, 5, -4, 0, 0]",0,-7,8,-3,6,-5,5,-4,0,0
658,"[[1, -1, 0], [1, 0, 1], [1, -1, 0]]",1,"[3, -6, 7, -9, 5, -5, 7, 0, 0]",1,3,-6,7,-9,5,-5,7,0,0
659,"[[1, 0, 1], [1, 0, 1], [-1, 0, 0]]",1,"[3, -8, 5, -9, 5, -6, 7, -4, 0]",0,3,-8,5,-9,5,-6,7,-4,0
660,"[[0, -1, 0], [0, 1, 1], [0, 1, 1]]",1,"[6, -5, 9, -7, 8, -3, 7, -5, 0]",0,6,-5,9,-7,8,-3,7,-5,0
661,"[[1, 1, 0], [0, 1, 1], [1, 0, 0]]",1,"[6, -9, 4, -5, 7, -5, 3, -8, 7]",-1,6,-9,4,-5,7,-5,3,-8,7
662,"[[0, -1, 1], [0, 1, -1], [0, -1, 1]]",1,"[9, -7, 5, -3, 6, -5, 0, 0, 0]",0,9,-7,5,-3,6,-5,0,0,0
663,"[[0, 1, 1], [0, 1, 0], [1, 0, 1]]",1,"[7, -3, 9, -5, 5, -8, 4, -7, 6]",1,7,-3,9,-5,5,-8,4,-7,6
664,"[[0, -1, 1], [0, -1, -1], [0, 1, -1]]",0,"[-7, 8, -5, 5, -3, 0, 0, 0, 0]",0,-7,8,-5,5,-3,0,0,0,0
665,"[[0, 0, 1], [0, 1, 1], [-1, 0, 1]]",0,"[-3, 9, -8, 6, -5, 5, -4, 7, 0]",1,-3,9,-8,6,-5,5,-4,7,0
666,"[[1, 1, 1], [1, 0, 0], [0, 0, 1]]",1,"[4, -7, 3, -6, 9, -7, 5, -8, 5]",1,4,-7,3,-6,9,-7,5,-8,5
667,"[[0, 1, -1], [0, 0, 1], [1, 1, 0]]",1,"[7, -3, 7, -6, 4, -5, 8, -9, 0]",0,7,-3,7,-6,4,-5,8,-9,0
668,"[[1, 0, 1], [1, 0, 1], [0, 0, -1]]",1,"[5, -4, 7, -7, 3, -8, 5, -6, 0]",0,5,-4,7,-7,3,-8,5,-6,0
669,"[[0, 0, 1], [1, 0, 0], [1, 1, 0]]",0,"[-6, 7, -4, 8, -7, 5, -9, 5, -3]",0,-6,7,-4,8,-7,5,-9,5,-3
670,"[[0, 0, 0], [1, -1, 0], [1, -1, 1]]",0,"[-4, 9, -7, 5, -3, 7, -5, 0, 0]",0,-4,9,-7,5,-3,7,-5,0,0
671,"[[1, 1, 1], [-1, 0, 0], [1, 0, 0]]",0,"[-6, 3, -8, 7, -9, 5, -7, 4, 0]",1,-6,3,-8,7,-9,5,-7,4,0
672,"[[0, 0, 0], [1, 0, 1], [-1, -1, 1]]",0,"[-3, 5, -5, 7, -6, 9, -4, 0, 0]",0,-3,5,-5,7,-6,9,-4,0,0
673,"[[1, 0, 1], [0, 1, 1], [1, 0, 0]]",1,"[5, -5, 7, -8, 7, -4, 3, -9, 6]",1,5,-5,7,-8,7,-4,3,-9,6
674,"[[1, 1, -1], [1, 0, 0], [1, 0, 0]]",0,"[-6, 7, -9, 5, -8, 4, -7, 3, 0]",1,-6,7,-9,5,-8,4,-7,3,0
675,"[[1, 1, 0], [-1, 0, -1], [0, 1, -1]]",1,"[3, -7, 4, -6, 8, -5, 0, 0, 0]",0,3,-7,4,-6,8,-5,0,0,0
676,"[[0, 0, 1], [1, 1, 0], [0, 1, 0]]",0,"[-9, 6, -7, 5, -4, 8, -7, 5, -3]",-1,-9,6,-7,5,-4,8,-7,5,-3
677,"[[1, 1, -1], [1, -1, -1], [0, 0, 0]]",1,"[5, -9, 4, -8, 3, -7, 0, 0, 0]",0,5,-9,4,-8,3,-7,0,0,0
678,"[[-1, -1, 1], [0, 0, 1], [-1, 0, 1]]",0,"[-6, 5, -8, 7, -5, 9, 0, 0, 0]",1,-6,5,-8,7,-5,9,0,0,0
679,"[[0, 0, 1], [1, 0, 1], [1, -1, 0]]",1,"[7, -9, 7, -4, 5, -6, 5, -3, 0]",0,7,-9,7,-4,5,-6,5,-3,0
680,"[[1, 0, -1], [1, -1, 0], [1, -1, 0]]",0,"[-4, 5, -9, 3, -7, 7, 0, 0, 0]",1,-4,5,-9,3,-7,7,0,0,0
681,"[[0, 1, 1], [1, 0, 0], [0, 1, 0]]",0,"[-7, 5, -3, 8, -7, 4, -6, 5, -9]",0,-7,5,-3,8,-7,4,-6,5,-9
682,"[[0, 1, -1], [0, 0, -1], [0, 1, 1]]",0,"[-6, 9, -3, 4, -5, 8, -7, 0, 0]",0,-6,9,-3,4,-5,8,-7,0,0
683,"[[0, 1, 0], [1, 0, -1], [1, 1, 0]]",1,"[8, -3, 5, -9, 4, -5, 7, -6, 0]",0,8,-3,5,-9,4,-5,7,-6,0
684,"[[0, 1, 0], [-1, 0, 0], [1, 1, 1]]",0,"[-6, 7, -5, 9, -7, 4, -3, 8, 0]",1,-6,7,-5,9,-7,4,-3,8,0
685,"[[0, 1, 0], [1, 0, 1], [1, 0, 1]]",1,"[7, -5, 9, -6, 7, -3, 5, -8, 4]",-1,7,-5,9,-6,7,-3,5,-8,4
686,"[[-1, 1, 0], [1, 0, 1], [0, 0, -1]]",0,"[-8, 5, -7, 7, -5, 4, -6, 0, 0]",0,-8,5,-7,7,-5,4,-6,0,0
687,"[[0, 0, 0], [1, 0, 1], [-1, 1, 1]]",1,"[5, -6, 7, -5, 9, -4, 8, -3, 0]",0,5,-6,7,-5,9,-4,8,-3,0
688,"[[0, 0, 1], [1, 1, 1], [-1, 0, -1]]",1,"[6, -8, 5, -3, 5, -4, 7, 0, 0]",1,6,-8,5,-3,5,-4,7,0,0
689,"[[0, 0, 0], [-1, 1, 1], [-1, 1, 0]]",0,"[-9, 7, -4, 6, -3, 8, -5, 0, 0]",0,-9,7,-4,6,-3,8,-5,0,0
690,"[[0, 0, 1], [1, 1, 0], [0, 1, 0]]",0,"[-4, 6, -9, 5, -7, 8, -3, 5, -7]",-1,-4,6,-9,5,-7,8,-3,5,-7
691,"[[0, 0, 0], [1, -1, 1], [-1, 1, -1]]",1,"[5, -4, 8, -3, 7, -5, 0, 0, 0]",0,5,-4,8,-3,7,-5,0,0,0
692,"[[1, 1, -1], [0, 0, 0], [-1, -1, -1]]",0,"[-6, 4, -5, 3, -7, 0, 0, 0, 0]",0,-6,4,-5,3,-7,0,0,0,0
693,"[[1, 1, 1], [1, 0, 0], [1, 0, 0]]",1,"[4, -9, 7, -7, 5, -8, 5, -6, 3]",1,4,-9,7,-7,5,-8,5,-6,3
694,"[[-1, 1, 1], [0, 1, -1], [0, 0, 0]]",0,"[-8, 4, -7, 5, -5, 6, -9, 0, 0]",0,-8,4,-7,5,-5,6,-9,0,0
695,"[[1, 0, 0], [0, 0, 1], [1, 0, 1]]",0,"[-6, 9, -4, 3, -5, 7, -5, 7, -8]",0,-6,9,-4,3,-5,7,-5,7,-8
696,"[[-1, 0, 1], [0, -1, 0], [1, 1, 1]]",1,"[5, -7, 7, -5, 9, -4, 8, 0, 0]",1,5,-7,7,-5,9,-4,8,0,0
697,"[[0, 1, 1], [0, -1, 0], [0, -1, 1]]",0,"[-5, 4, -7, 5, -7, 9, -3, 0, 0]",0,-5,4,-7,5,-7,9,-3,0,0
698,"[[1, -1, 0], [0, -1, 0], [1, 1, 0]]",0,"[-5, 7, -5, 8, -9, 3, -7, 0, 0]",0,-5,7,-5,8,-9,3,-7,0,0
699,"[[1, 0, 0], [0, 1, 1], [1, 0, 0]]",0,"[-5, 3, -9, 7, -5, 7, -4, 6, -8]",-1,-5,3,-9,7,-5,7,-4,6,-8
700,"[[1, 0, 1], [0, 1, 0], [1, -1, 0]]",0,"[-4, 3, -9, 5, -7, 7, -5, 6, 0]",1,-4,3,-9,5,-7,7,-5,6,0
701,"[[-1, 0, 1], [0, 1, 0], [1, 1, -1]]",1,"[6, -4, 5, -7, 8, -5, 7, 0, 0]",1,6,-4,5,-7,8,-5,7,0,0
702,"[[-1, 1, 0], [0, 0, 1], [0, 1, 1]]",1,"[8, -5, 4, -7, 7, -6, 9, -5, 0]",0,8,-5,4,-7,7,-6,9,-5,0
703,"[[0, 0, 1], [1, 1, 0], [1, 0, 1]]",1,"[5, -3, 6, -4, 5, -8, 9, -7, 7]",1,5,-3,6,-4,5,-8,9,-7,7
704,"[[1, 0, -1], [1, -1, 0], [1, 0, 1]]",1,"[7, -7, 5, -4, 9, -8, 3, 0, 0]",1,7,-7,5,-4,9,-8,3,0,0
705,"[[0, 1, 1], [0, 0, 1], [0, 1, -1]]",1,"[5, -3, 4, -6, 7, -5, 8, -7, 0]",0,5,-3,4,-6,7,-5,8,-7,0
706,"[[0, -1, 1], [-1, 0, 0], [1, 1, 1]]",1,"[5, -7, 8, -6, 9, -3, 7, 0, 0]",1,5,-7,8,-6,9,-3,7,0,0
707,"[[1, 1, 1], [0, 0, -1], [0, -1, 1]]",1,"[3, -6, 9, -7, 4, -5, 5, 0, 0]",1,3,-6,9,-7,4,-5,5,0,0
708,"[[-1, 1, 0], [-1, 1, 1], [0, 0, 0]]",0,"[-7, 6, -9, 4, -5, 7, -8, 0, 0]",0,-7,6,-9,4,-5,7,-8,0,0
709,"[[1, 1, 0], [0, 1, -1], [0, 1, 0]]",0,"[-5, 4, -5, 6, -9, 3, -7, 8, 0]",1,-5,4,-5,6,-9,3,-7,8,0
710,"[[1, -1, 0], [1, 0, 0], [1, -1, -1]]",0,"[-6, 5, -7, 3, -5, 7, 0, 0, 0]",1,-6,5,-7,3,-5,7,0,0,0
711,"[[-1, 0, -1], [1, 0, 0], [1, 0, 1]]",0,"[-8, 7, -4, 5, -7, 9, -6, 0, 0]",0,-8,7,-4,5,-7,9,-6,0,0
712,"[[0, 1, 0], [1, 1, -1], [0, 1, -1]]",1,"[4, -7, 5, -3, 6, -5, 8, 0, 0]",1,4,-7,5,-3,6,-5,8,0,0
713,"[[0, 0, 1], [1, 1, 0], [0, 1, 0]]",0,"[-7, 6, -9, 8, -7, 5, -4, 5, -3]",-1,-7,6,-9,8,-7,5,-4,5,-3
714,"[[1, 0, 0], [0, 1, 1], [0, 1, 0]]",0,"[-9, 7, -5, 3, -7, 8, -4, 6, -5]",-1,-9,7,-5,3,-7,8,-4,6,-5
715,"[[-1, 0, -1], [1, 0, -1], [-1, 0, 1]]",0,"[-8, 9, -4, 5, -6, 0, 0, 0, 0]",0,-8,9,-4,5,-6,0,0,0,0
716,"[[1, 0, 0], [0, 1, 1], [0, 1, 0]]",0,"[-5, 3, -4, 6, -7, 7, -5, 8, -9]",-1,-5,3,-4,6,-7,7,-5,8,-9
717,"[[-1, -1, 0], [1, 1, 0], [1, 0, 0]]",0,"[-9, 5, -5, 6, -8, 7, -7, 0, 0]",0,-9,5,-5,6,-8,7,-7,0,0
718,"[[0, 1, 1], [0, 1, 0], [1, 1, 0]]",1,"[4, -9, 8, -7, 5, -3, 7, -5, 6]",1,4,-9,8,-7,5,-3,7,-5,6
719,"[[1, 1, 1], [-1, 0, 0], [0, 0, 1]]",0,"[-8, 9, -7, 5, -6, 3, -7, 4, 0]",1,-8,9,-7,5,-6,3,-7,4,0
720,"[[1, 0, 0], [1, 0, 0], [1, -1, 1]]",0,"[-7, 5, -6, 3, -4, 9, -5, 7, 0]",1,-7,5,-6,3,-4,9,-5,7,0
721,"[[0, 1, 1], [1, 0, 0], [1, 0, 1]]",1,"[5, -8, 5, -3, 4, -6, 9, -7, 7]",-1,5,-8,5,-3,4,-6,9,-7,7
722,"[[1, 1, 0], [0, -1, 0], [1, -1, 0]]",0,"[-7, 4, -5, 3, -9, 7, -5, 0, 0]",0,-7,4,-5,3,-9,7,-5,0,0
723,"[[1, 1, 1], [1, 0, 0], [0, -1, -1]]",1,"[5, -7, 3, -7, 4, -6, 5, 0, 0]",1,5,-7,3,-7,4,-6,5,0,0
724,"[[0, 1, 1], [1, 0, 0], [0, 1, 1]]",1,"[5, -6, 5, -7, 9, -7, 8, -3, 4]",-1,5,-6,5,-7,9,-7,8,-3,4
725,"[[1, -1, -1], [0, 1, -1], [0, -1, 1]]",1,"[3, -5, 6, -7, 9, 0, 0, 0, 0]",1,3,-5,6,-7,9,0,0,0,0
726,"[[0, 1, 1], [0, -1, -1], [0, 0, 1]]",0,"[-5, 5, -7, 4, -8, 9, -3, 0, 0]",0,-5,5,-7,4,-8,9,-3,0,0
727,"[[-1, 1, -1], [0, 0, 0], [1, -1, 1]]",1,"[9, -5, 4, -6, 7, -7, 0, 0, 0]",0,9,-5,4,-6,7,-7,0,0,0
728,"[[1, -1, 0], [-1, 0, 1], [0, 0, 1]]",0,"[-8, 9, -7, 7, -5, 3, -6, 0, 0]",0,-8,9,-7,7,-5,3,-6,0,0
729,"[[-1, 0, 0], [1, 1, 1], [0, 0, 1]]",0,"[-7, 7, -4, 6, -5, 9, -8, 5, 0]",1,-7,7,-4,6,-5,9,-8,5,0
730,"[[1, 0, 1], [0, 0, 1], [1, 1, 0]]",1,"[8, -4, 5, -6, 7, -5, 7, -9, 3]",-1,8,-4,5,-6,7,-5,7,-9,3
731,"[[1, -1, 0], [-1, 0, -1], [0, -1, 1]]",0,"[-5, 9, -6, 3, -7, 0, 0, 0, 0]",0,-5,9,-6,3,-7,0,0,0,0
732,"[[0, 0, 0], [1, 1, 0], [1, 0, 1]]",0,"[-7, 7, -3, 5, -8, 9, -5, 6, -4]",0,-7,7,-3,5,-8,9,-5,6,-4
733,"[[1, -1, -1], [1, -1, 1], [0, 0, 0]]",1,"[5, -9, 7, -7, 3, -8, 0, 0, 0]",0,5,-9,7,-7,3,-8,0,0,0
734,"[[1, 1, 1], [0, 1, 0], [0, -1, 0]]",0,"[-7, 6, -7, 5, -5, 4, -9, 3, 0]",1,-7,6,-7,5,-5,4,-9,3,0
735,"[[0, 0, 0], [1, 1, -1], [-1, 1, 0]]",0,"[-5, 6, -4, 5, -9, 8, -3, 0, 0]",0,-5,6,-4,5,-9,8,-3,0,0
736,"[[0, -1, 1], [-1, 0, 1], [-1, 0, 1]]",0,"[-6, 9, -8, 5, -3, 7, 0, 0, 0]",1,-6,9,-8,5,-3,7,0,0,0
737,"[[1, 1, 1], [0, 0, -1], [0, 0, 1]]",0,"[-7, 4, -8, 5, -6, 9, -5, 3, 0]",1,-7,4,-8,5,-6,9,-5,3,0
738,"[[1, -1, 1], [-1, 1, 0], [0, 0, 1]]",1,"[5, -7, 3, -8, 6, -7, 9, 0, 0]",1,5,-7,3,-8,6,-7,9,0,0
739,"[[0, 0, 0], [0, 1, 1], [1, 0, 1]]",0,"[-5, 6, -3, 9, -5, 7, -8, 7, -4]",0,-5,6,-3,9,-5,7,-8,7,-4
740,"[[-1, 0, -1], [0, 0, 1], [1, 1, 1]]",1,"[7, -5, 7, -6, 9, -4, 8, 0, 0]",1,7,-5,7,-6,9,-4,8,0,0
741,"[[1, 1, 0], [0, 0, 1], [0, 0, 1]]",0,"[-6, 3, -5, 7, -8, 4, -5, 9, -7]",0,-6,3,-5,7,-8,4,-5,9,-7
742,"[[0, 0, 1], [1, 0, 1], [1, -1, 0]]",1,"[5, -4, 7, -3, 7, -6, 5, -9, 0]",0,5,-4,7,-3,7,-6,5,-9,0
